,Sample,Label,Color,Marker,Size,Alpha,pH,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,TDS
193,W2_2016_6,C4,#67ACE6,o,20,0.6,7.3,208.91,57.45,77.52,0,124.6,0,145.32,287.31,1330.75
194,W2_2016_11,C4,#67ACE6,o,20,0.6,8.05,221.94,36.25,83.93,0,172.85,0,197.48,114.75,1192.77
195,W2_2017_6,C2,#E9C832,o,20,0.6,7.07,228.97,92.9,92.45,0,70.25,0,233.57,648.9,1368.0
196,W2_2017_10,C4,#67ACE6,o,20,0.6,7.64,232.4,74.56,93.12,0,63.14,0,156.72,331.43,1600.0
197,W3_2002_9,C4,#67ACE6,o,20,0.6,7.0,137.23,35.88,60.82,0,116.63,0,99.48,124.11,866.17
198,W3_2003_6,C4,#67ACE6,o,20,0.6,8.3,87.27,26.46,40.55,0,85.97,0,61.16,89.56,585.69
199,W3_2004_9,C4,#67ACE6,o,20,0.6,6.7,79.7,32.5,65.9,0,116.0,0,98.6,93.1,723.0
200,W3_2005_4,C4,#67ACE6,o,20,0.6,7.1,81.2,35.9,69.4,0,127.0,0,97.8,91.6,695.0
201,W3_2006_9,C4,#67ACE6,o,20,0.6,7.2,119.0,52.4,139.0,0,161.0,0,165.0,209.0,904.0
202,W3_2007_4,C4,#67ACE6,o,20,0.6,7.3,157.0,52.7,126.0,0,206.0,0,195.0,184.0,984.2
203,W3_2008_9,C2,#E9C832,o,20,0.6,7.6,202.0,76.0,235.0,0,155.6,0,191.0,202.0,1113.0
204,W3_2009_4,C2,#E9C832,o,20,0.6,7.6,218.2,73.2,175.1,0,312.0,0,280.0,244.0,1367.9
205,W3_2011_4,C3,#89C667,o,20,0.6,7.1,35.3,12.6,310.71,0,224.6,0,187.0,181.0,1175.76
206,W3_2011_9,C3,#89C667,o,20,0.6,7.9,101.9,36.4,218.8,0,455.6,0,157.0,140.0,1344.74
207,W3_2012_4,C3,#89C667,o,20,0.6,7.2,107.8,38.5,199.8,0,443.6,0,140.0,147.0,1262.0
208,W3_2012_9,C3,#89C667,o,20,0.6,7.5,100.5,35.8,203.1,0,431.7,0,138.0,139.0,1232.0
209,W3_2013_7,C4,#67ACE6,o,20,0.6,8.3,117.69,34.7,70.4,0,92.56,0,98.63,170.65,868.71
210,W3_2013_10,C4,#67ACE6,o,20,0.6,6.81,156.1,36.85,62.88,0,108.74,0,94.98,235.32,972.28
211,W3_2014_8,C4,#67ACE6,o,20,0.6,7.15,108.99,35.73,59.89,0,98.57,0,94.31,134.34,779.41
212,W3_2014_12,C4,#67ACE6,o,20,0.6,7.65,53.43,23.2,42.25,0,82.29,0,55.38,60.48,470.79
213,W3_2015_4,C4,#67ACE6,o,20,0.6,7.7,60.64,19.09,42.72,0,84.75,0,57.59,62.55,483.75
214,W3_2015_9,C4,#67ACE6,o,20,0.6,8.09,131.4,42.16,121.12,0,241.18,0,237.95,138.33,1042.15
215,W3_2016_6,C4,#67ACE6,o,20,0.6,6.8,115.3,40.27,113.39,0,280.36,0,167.41,190.3,1096.23
216,W3_2017_7,C4,#67ACE6,o,20,0.6,7.12,171.2,58.61,57.27,0,85.92,0,116.79,215.4,1052.0
217,W3_2017_10,C4,#67ACE6,o,20,0.6,7.44,135.07,39.12,60.75,0,108.05,0,152.55,186.65,804.0
218,W8_2002_9,C4,#67ACE6,o,20,0.6,7.1,120.24,20.91,36.67,0,180.48,0,79.39,66.09,613.15
219,W8_2003_6,C4,#67ACE6,o,20,0.6,8.0,105.37,18.07,36.25,0,153.53,0,72.57,59.7,619.06
220,W8_2004_9,C4,#67ACE6,o,20,0.6,6.9,138.0,22.0,36.25,0,185.0,0,152.0,103.0,938.0
221,W8_2006_9,C4,#67ACE6,o,20,0.6,8.1,142.0,31.2,70.9,0,216.0,0,171.0,143.0,853.4
